property_usage_en,annual_amount,annual_rent_per_area,total_lease_contracts
Agriculture,106200.0,210.28710977633764,5
Commercial,79753.81516632618,2696.982932567297,833122
Educational facility,149608.54298642534,12827.013327033701,221
Health Facility,98957.27433628318,3816.2926636812103,339
Industrial,103820.2603404708,704.8978845376928,15038
Industrial / Commercial,96825.98230927184,45.1596875075249,18993
Industrial / Commercial / Residential,87035.19353619353,45.71630307935619,5291
Multi Usage,103537.75733077555,38.90634052063899,7298
Residential,71350.7097723171,3651.1995804854914,2290071
Residential / Commercial,108023.77333333333,439.35975162667046,75
Storage,85783.35570032573,13355.886441974919,1535
Tourist origin,98512.3125,559.2907750749854,16
